Player,Round,DraftNumber,PreTeam,urlsummary,PreType,GP,GS,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OFF,DEF,TRB,AST,STL,BLK,TOV,PF,Position,Year
Moses Moody,1,14,Arkansas,https://basketball.realgm.com/player/Moses-Moody/Summary/132632,College,32.0,32.0,33.7,16.84,5.16,12.06,0.4270000000000001,1.81,5.06,0.358,4.72,5.81,0.812,2.0,3.75,5.75,1.59,1.03,0.66,1.62,2.31,SG,2021
Corey Kispert,1,15,Gonzaga,https://basketball.realgm.com/player/Corey-Kispert/Summary/105831,College,32.0,32.0,31.8,18.59,6.53,12.34,0.529,2.84,6.47,0.44,2.69,3.06,0.878,0.94,4.03,4.97,1.81,0.91,0.44,1.31,1.69,SF,2021
Alperen Sengun,1,16,Besiktas Icrypex (Turkey),https://basketball.realgm.com/player/Alperen-Sengun/Summary/137853,Overseas,37.0,34.0,28.2,18.97,6.78,10.73,0.632,0.19,0.95,0.2,5.22,6.57,0.794,3.62,5.11,8.73,2.7,1.32,1.57,2.43,3.14,C,2021
Trey Murphy,1,17,Virginia,https://basketball.realgm.com/player/Trey-Murphy-III/Summary/139788,College,25.0,21.0,29.6,11.28,3.84,7.64,0.503,2.08,4.8,0.433,1.52,1.64,0.927,0.6,2.8,3.4,1.2,0.8,0.44,0.76,1.96,G,2021
Tre Mann,1,18,Florida,https://basketball.realgm.com/player/Tre-Mann/Summary/117467,College,24.0,24.0,32.4,16.04,5.54,12.08,0.459,1.88,4.67,0.402,3.08,3.71,0.831,0.67,4.96,5.62,3.46,1.38,0.12,2.83,2.38,PG,2021
Kai Jones,1,19,Texas,https://basketball.realgm.com/player/Kai-Jones/Summary/120102,College,26.0,4.0,22.9,8.85,3.19,5.5,0.58,0.5,1.31,0.382,1.96,2.85,0.6890000000000001,1.96,2.88,4.85,0.62,0.85,0.92,1.38,2.65,PF,2021
Jalen Johnson,1,20,Duke,https://basketball.realgm.com/player/Jalen-Johnson/Summary/117333,College,13.0,8.0,21.4,11.23,4.38,8.38,0.523,0.62,1.38,0.444,1.85,2.92,0.632,1.54,4.54,6.08,2.23,1.15,1.23,2.54,2.23,PF,2021
Keon Johnson,1,21,Tennessee,https://basketball.realgm.com/player/Keon-Johnson/Summary/117372,College,27.0,17.0,25.5,11.33,4.11,9.15,0.449,0.48,1.78,0.271,2.63,3.74,0.703,1.07,2.44,3.52,2.48,1.11,0.44,2.63,2.37,PG,2021
Isaiah Jackson,1,22,Kentucky,https://basketball.realgm.com/player/Isaiah-Jackson/Summary/132627,College,25.0,18.0,20.8,8.44,2.96,5.48,0.54,0.0,0.08,0.0,2.52,3.6,0.7,2.12,4.48,6.6,0.68,0.76,2.6,1.52,3.0,PF,2021
Usman Garuba,1,23,Real Madrid (Spain),https://basketball.realgm.com/player/Usman-Garuba/Summary/108741,Overseas,86.0,42.0,17.2,4.7,1.79,3.8,0.471,0.49,1.55,0.316,0.63,0.95,0.659,1.44,3.19,4.63,0.83,0.66,0.53,1.01,1.91,C,2021
Josh Christopher,1,24,Arizona State,https://basketball.realgm.com/player/Josh-Christopher/Summary/120138,College,15.0,15.0,29.8,14.27,5.07,11.73,0.4320000000000001,1.2,3.93,0.305,2.93,3.67,0.8,0.67,4.07,4.73,1.4,1.47,0.53,1.73,3.2,G,2021
Quentin Grimes,1,25,Houston,https://basketball.realgm.com/player/Quentin-Grimes/Summary/107566,College,30.0,30.0,32.7,17.83,5.77,14.2,0.406,3.33,8.27,0.403,2.97,3.77,0.7879999999999999,1.6,4.1,5.7,1.97,1.4,0.3,1.83,2.2,SG,2021
Nah’Shon Hyland,1,26,VCU,https://basketball.realgm.com/player/Bones-Hyland/Summary/120125,College,24.0,24.0,31.9,19.46,6.33,14.17,0.447,2.88,7.75,0.371,3.92,4.54,0.862,0.17,4.54,4.71,2.08,1.88,0.17,3.08,2.21,G,2021
Cameron Thomas,1,27,LSU,https://basketball.realgm.com/player/Cam-Thomas/Summary/132633,College,29.0,29.0,33.9,23.03,7.0,17.24,0.406,2.34,7.21,0.325,6.69,7.59,0.882,0.62,2.76,3.38,1.45,0.86,0.21,1.69,1.38,PG,2021
Jaden Springer,1,28,Tennessee,https://basketball.realgm.com/player/Jaden-Springer/Summary/117325,College,25.0,15.0,26.0,12.52,4.24,9.08,0.467,0.8,1.84,0.435,3.24,4.0,0.81,1.04,2.48,3.52,2.92,1.2,0.44,2.4,2.04,SG,2021
Day’Ron Sharpe,1,29,North Carolina,https://basketball.realgm.com/player/DayRon-Sharpe/Summary/135668,College,29.0,4.0,19.2,9.48,3.86,7.45,0.519,0.0,0.07,0.0,1.76,3.48,0.505,3.34,4.21,7.55,1.45,0.79,0.9,1.97,2.03,PF,2021
Santi Aldama,1,30,Loyola (MD),https://basketball.realgm.com/player/Santi-Aldama/Summary/119596,College,17.0,17.0,35.0,21.24,7.94,15.47,0.513,1.88,5.12,0.368,3.47,5.06,0.6859999999999999,1.82,8.29,10.12,2.29,1.0,1.71,3.24,1.88,C,2021
Isaiah Todd,2,31,NBA G League Ignite,https://basketball.realgm.com/player/Isaiah-Todd/Summary/117340,G League,15.0,2.0,24.4,12.33,4.87,11.13,0.4370000000000001,1.13,3.13,0.362,0.93,1.13,0.8240000000000001,0.8,4.07,4.87,0.8,0.47,0.73,1.53,2.53,PF,2021
